0,0,0,0
0.001,0.0002,1.5708e-07,0.000785398
0.002,0.0004,4.71239e-07,0.0015708
0.003,0.000599999,9.42477e-07,0.00235619
0.004,0.000799998,1.57079e-06,0.00314159
0.005,0.000999997,2.35619e-06,0.00392699
0.006,0.00119999,3.29867e-06,0.00471239
0.007,0.00139999,4.39822e-06,0.00549779
0.008,0.00159999,5.65485e-06,0.00628319
0.009,0.00179998,7.06855e-06,0.00706858
0.01,0.00199998,8.63933e-06,0.00785398
0.011,0.00219997,1.03672e-05,0.00863938
0.012,0.00239996,1.22521e-05,0.00942478
0.013,0.00259995,1.42941e-05,0.0102102
0.014,0.00279994,1.64932e-05,0.0109956
0.015,0.00299992,1.88493e-05,0.011781
0.016,0.00319991,2.13625e-05,0.0125664
0.017,0.00339989,2.40328e-05,0.0133518
0.018,0.00359987,2.68601e-05,0.0141372
0.019,0.00379985,2.98445e-05,0.0149226
0.02,0.00399982,3.2986e-05,0.015708
0.021,0.0041998,3.62845e-05,0.0164934
0.022,0.00439977,3.97401e-05,0.0172788
0.023,0.00459973,4.33527e-05,0.0180642
0.024,0.0047997,4.71224e-05,0.0188496
0.025,0.00499966,5.10492e-05,0.019635
0.026,0.00519962,5.5133e-05,0.0204204
0.027,0.00539957,5.93738e-05,0.0212058
0.028,0.00559952,6.37717e-05,0.0219911
0.029,0.00579947,6.83266e-05,0.0227765
0.03,0.00599942,7.30385e-05,0.0235619
0.031,0.00619936,7.79075e-05,0.0243473
0.032,0.00639929,8.29335e-05,0.0251327
0.033,0.00659923,8.81166e-05,0.0259181
0.034,0.00679916,9.34567e-05,0.0267035
0.035,0.00699908,9.89538e-05,0.0274889
0.036,0.007199,0.000104608,0.0282743
0.037,0.00739892,0.000110419,0.0290597
0.038,0.00759883,0.000116387,0.0298451
0.039,0.00779873,0.000122512,0.0306305
0.04,0.00799863,0.000128794,0.0314159
0.041,0.00819853,0.000135234,0.0322013
0.042,0.00839842,0.00014183,0.0329867
0.043,0.00859831,0.000148583,0.0337721
0.044,0.00879819,0.000155493,0.0345575
0.045,0.00899806,0.00016256,0.0353429
0.046,0.00919793,0.000169784,0.0361283
0.047,0.0093978,0.000177165,0.0369137
0.048,0.00959765,0.000184703,0.0376991
0.049,0.00979751,0.000192398,0.0384845
0.05,0.00999735,0.00020025,0.0392699
0.051,0.0101972,0.000208259,0.0400553
0.052,0.010397,0.000216425,0.0408407
0.053,0.0105969,0.000224748,0.0416261
0.054,0.0107967,0.000233228,0.0424115
0.055,0.0109965,0.000241864,0.0431969
0.056,0.0111963,0.000250658,0.0439823
0.057,0.0113961,0.000259609,0.0447677
0.058,0.0115959,0.000268716,0.0455531
0.059,0.0117957,0.00027798,0.0463385
0.06,0.0119954,0.000287402,0.0471239
0.061,0.0121952,0.00029698,0.0479093
0.062,0.012395,0.000306715,0.0486947
0.063,0.0125947,0.000316607,0.0494801
0.064,0.0127945,0.000326656,0.0502655
0.065,0.0129942,0.000336862,0.0510509
0.066,0.013194,0.000347224,0.0518363
0.067,0.0133937,0.000357744,0.0526217
0.068,0.0135934,0.00036842,0.0534071
0.069,0.0137931,0.000379253,0.0541925
0.07,0.0139928,0.000390243,0.0549779
0.071,0.0141925,0.00040139,0.0557633
0.072,0.0143922,0.000412694,0.0565487
0.073,0.0145918,0.000424154,0.0573341
0.074,0.0147915,0.000435772,0.0581195
